#SampleID	Category	Description	Sex	Nest_location	Nest_no	Body_location	Fert_status	Species
AFCN1	adult	adult	female	NA	Nest1	cloaca	fertilized	macrotis
AFCN2	adult	adult	female	NA	Nest2	cloaca	unfertilized	leucomystax
AFCN3	adult	adult	female	NA	Nest3	cloaca	fertilized	otilophus
AFCN4	adult	adult	female	NA	Nest4	cloaca	fertilized	leucomystax
AFDN1	adult	adult	female	NA	Nest1	dorsal	fertilized	macrotis
AFDN2	adult	adult	female	NA	Nest2	dorsal	unfertilized	leucomystax
AFDN3	adult	adult	female	NA	Nest3	dorsal	fertilized	otilophus
AFDN4	adult	adult	female	NA	Nest4	dorsal	fertilized	leucomystax
AFVN1	adult	adult	female	NA	Nest1	ventral	fertilized	macrotis
AFVN2	adult 	adult 	female	NA	Nest2	ventral	unfertilized	leucomystax
AFVN3	adult	adult	female	NA	Nest3	ventral	fertilized	otilophus
AFVN4	adult	adult	female	NA	Nest4	ventral	fertilized	leucomystax
AMC	adult	adult	male	NA	NA	cloaca	unfertilized	leucomystax
AMCN1	adult	adult	male	NA	Nest1	cloaca	fertilized	macrotis
AMCN3	adult	adult	male	NA	Nest3	cloaca	fertilized	otilophus
AMCN4	adult	adult	male	NA	Nest4	cloaca	fertilized	leucomystax
AMD	adult	adult	male	NA	NA	dorsal	unfertilized	leucomystax
AMDN1	adult	adult	male	NA	Nest1	dorsal	fertilized	macrotis
AMDN3	adult	adult	male	NA	Nest3	dorsal	fertilized	otilophus
AMDN4	adult	adult	male	NA	Nest4	dorsal	fertilized	leucomystax
AMV	adult	adult	male	NA	NA	ventral	unfertilized	leucomystax
AMVN1	adult	adult	male	NA	Nest1	ventral	fertilized	macrotis
AMVN3	adult	adult	male	NA	Nest3	ventral	fertilized	otilophus
AMVN4	adult	adult	male	NA	Nest4	ventral	fertilized	leucomystax
C2H2O	water-control	water-control	NA	NA	NA	NA	NA	NA
H2O1	water-control	water-control	NA	NA	NA	NA	NA	NA
H2O2	water-control	water-control	NA	NA	NA	NA	NA	NA
H2O3	water-control	water-control	NA	NA	NA	NA	NA	NA
H2Ocontrol1	water-control	water-control	NA	NA	NA	NA	NA	NA
H2Ocontrol2	water-control	water-control	NA	NA	NA	NA	NA	NA
H2Ocontrol3	water-control	water-control	NA	NA	NA	NA	NA	NA
H20controlN4	water-control	water-control	NA	NA	Nest4	NA	NA	NA
H2ON3	water-control	water-control	NA	NA	Nest3	NA	NA	NA
N1FTad1	tadpole-nest	tadpole-nest	NA	NA	Nest1	NA	NA	macrotis
N1FTad2	tadpole-nest	tadpole-nest	NA	NA	Nest1	NA	NA	macrotis
N1FTad3	tadpole-nest	tadpole-nest	NA	NA	Nest1	NA	NA	macrotis
N1H2O1	water-terrarium	water-terrarium	NA	NA	Nest1	NA	NA	NA
N1H2O2	water-terrarium	water-terrarium	NA	NA	Nest1	NA	NA	NA
N1H2O3	water-terrarium	water-terrarium	NA	NA	Nest1	NA	NA	NA
N1H2OFTads	water-terrarium	water-terrarium	NA	NA	Nest1	NA	NA	NA
N1in1	nest-in	nest-in	NA	inside	Nest1	NA	fertilized	macrotis
N1in2	nest-in	nest-in	NA	inside	Nest1	NA	fertilized	macrotis
N1in3	nest-in	nest-in	NA	inside	Nest1	NA	fertilized	macrotis
N1leaf1	leaf	leaf	NA	NA	Nest1	NA	NA	NA
N1leaf2	leaf	leaf	NA	NA	Nest1	NA	NA	NA
N1leaf3	leaf	leaf	NA	NA	Nest1	NA	NA	NA
N1out1	nest-out	nest-out	NA	outside	Nest1	NA	fertilized	macrotis
N1out2	nest-out	nest-out	NA	outside	Nest1	NA	fertilized	macrotis
N1out3	nest-out	nest-out	NA	outside	Nest1	NA	fertilized	macrotis
N1PH2O1	water-enclosure	water	NA	NA	Nest1	NA	NA	NA
N1PH2O2	water-enclosure	water	NA	NA	Nest1	NA	NA	NA
N1PH2O3	water-enclosure	water	NA	NA	Nest1	NA	NA	NA
N1WTad1	tadpole-pond	tadpole-pond	NA	NA	Nest1	NA	NA	macrotis
N1WTad2	tadpole-pond	tadpole-pond	NA	NA	Nest1	NA	NA	macrotis
N1WTad3	tadpole-pond	tadpole-pond	NA	NA	Nest1	NA	NA	macrotis
N3FH2O1	water-terrarium	water-terrarium	NA	NA	Nest3	NA	NA	NA
N3FH2O2	water-terrarium	water-terrarium	NA	NA	Nest3	NA	NA	NA
N3FH2O3	water-terrarium	water-terrarium	NA	NA	Nest3	NA	NA	NA
N3FTad1	tadpole-nest	tadpole-nest	NA	NA	Nest3	NA	NA	otilophus
N3FTad2	tadpole-nest	tadpole-nest	NA	NA	Nest3	NA	NA	otilophus
N3FTad3	tadpole-nest	tadpole-nest	NA	NA	Nest3	NA	NA	otilophus
N3in1	nest-in	nest-in	NA	inside	Nest3	NA	fertilized	otilophus
N3in2	nest-in	nest-in	NA	inside	Nest3	NA	fertilized	otilophus
N3in3	nest-in	nest-in	NA	inside	Nest3	NA	fertilized	otilophus
N3leaf1	leaf	leaf	NA	NA	Nest3	NA	NA	NA
N3leaf2	leaf	leaf	NA	NA	Nest3	NA	NA	NA
N3leaf3	leaf	leaf	NA	NA	Nest3	NA	NA	NA
N3out1	nest-out	nest-out	NA	outside	Nest3	NA	fertilized	otilophus
N3out2	nest-out	nest-out	NA	outside	Nest3	NA	fertilized	otilophus
N3out3	nest-out	nest-out	NA	outside	Nest3	NA	fertilized	otilophus
N3PH2O1	water-enclosure	water	NA	NA	Nest3	NA	NA	NA
N3PH2O2	water-enclosure	water	NA	NA	Nest3	NA	NA	NA
N3PH2O3	water-enclosure	water	NA	NA	Nest3	NA	NA	NA
N3WTad1	tadpole-pond	tadpole-pond	NA	NA	Nest3	NA	NA	otilophus
N3WTad2	tadpole-pond	tadpole-pond	NA	NA	Nest3	NA	NA	otilophus
N3WTad3	tadpole-pond	tadpole-pond	NA	NA	Nest3	NA	NA	otilophus
N4FH2O1	water-terrarium	water-terrarium	NA	NA	Nest4	NA	NA	NA
N4FH2O2	water-terrarium	water-terrarium	NA	NA	Nest4	NA	NA	NA
N4FH2O3	water-terrarium	water-terrarium	NA	NA	Nest4	NA	NA	NA
N4FTad1	tadpole-nest	tadpole-nest	NA	NA	Nest4	NA	NA	leucomystax
N4FTad2	tadpole-nest	tadpole-nest	NA	NA	Nest4	NA	NA	leucomystax
N4FTad3	tadpole-nest	tadpole-nest	NA	NA	Nest4	NA	NA	leucomystax
N4in1	nest-in	nest-in	NA	inside	Nest4	NA	fertilized	leucomystax
N4in2	nest-in	nest-in	NA	inside	Nest4	NA	fertilized	leucomystax
N4in3	nest-in	nest-in	NA	inside	Nest4	NA	fertilized	leucomystax
N4leaf1	leaf	leaf	NA	NA	Nest4	NA	NA	NA
N4leaf2	leaf	leaf	NA	NA	Nest4	NA	NA	NA
N4leaf3	leaf	leaf	NA	NA	Nest4	NA	NA	NA
N4out1	nest-out	nest-out	NA	outside	Nest4	NA	fertilized	leucomystax
N4out2	nest-out	nest-out	NA	outside	Nest4	NA	fertilized	leucomystax
N4out3	nest-out	nest-out	NA	outside	Nest4	NA	fertilized	leucomystax
N4PH2O1	water-enclosure	water	NA	NA	Nest4	NA	NA	NA
N4PH2O2	water-enclosure	water	NA	NA	Nest4	NA	NA	NA
N4PH2O3	water-enclosure	water	NA	NA	Nest4	NA	NA	NA
N4WTad1	tadpole-pond	tadpole-pond	NA	NA	Nest4	NA	NA	leucomystax
N4WTad2	tadpole-pond	tadpole-pond	NA	NA	Nest4	NA	NA	leucomystax
N4WTad3	tadpole-pond	tadpole-pond	NA	NA	Nest4	NA	NA	leucomystax
N2-1	nest-in	nest-in	NA	inside	Nest2	NA	unfertilized	leucomystax
N2-2	nest-in	nest-in	NA	inside	Nest2	NA	unfertilized	leucomystax
N2-3	nest-in	nest-in	NA	inside	Nest2	NA	unfertilized	leucomystax
NAR2	sterile-swab	sterile-swab	NA	NA	NA	NA	NA	NA
AMSecretion	secretion	secretion	NA	NA	NA	NA	unfertilized	leucomystax